ID,Определение,Слово,Частотность,Длина определения,Функциональность,нет,Семантич. категория,Семантич. категория2
0,"косметический продукт, который красит, увлажняет или защищает губы",Помада,"9,1",8,да,конкретное,Предмет быта,Одежда и аксессуары
1,"явление природы, возникающее при отражении звука от предметов",Эхо,15,8,нет,абстрактное,Природа,
2,"старинное вечернее официальное мероприятие, на котором танцевали",Бал,"14,7",9,да,конкретное,Мероприятие,
3,"человек, который выступает в цирке и смешит зрителей",Клоун,"13,9",8,да,конкретное,Человек,Искусство
4,"капли жидкости, стремительно разлетающиеся от всплеска",Брызги,9,6,да,конкретное,Природа,
5,"большая железная палка, которой разбивают крепкие предметы",Лом,"8,8",9,да,конкретное,Приспособление,
6,"школьный инструмент, с помощью которого проводят прямые и отрезки",Линейка,"8,6",10,да,конкретное,Приспособление,
7,"резкое действие, которое человек с мячом совершает руками в баскетболе или гандболе",Бросок,"8,5",12,да,абстрактное,Действие,
8,"комический жанр, в котором высмеиваются политические и социальные явления",Сатира,"8,4",9,да,абстрактное,Жанр,Искусство
9,"рамка, в которую вставляются линзы в очках",Оправа,"4,2",7,да,конкретное,Одежда и аксессуары,
10,"хвойное дерево, которое сбрасывает зимой иголки",Лиственница,"4,1",6,да,конкретное,Природа,
11,пристройка к дому сбоку,Флигель,"4,1",8,нет,конкретное,Помещение,
12,"военное действие, при котором сбрасывают с воздуха взрывающиеся снаряды",Бомбардировка,"3,9",10,да,конкретное,Процесс,
13,стремление человека к извлечению для себя материальной выгоды любым путем,Корысть,"3,7",7,нет,абстрактное,Свойство,
14,"человек, который обслуживает печь или топку",Кочегар,"3,6",7,да,конкретное,Человек,
15,"боксерское приспособление, которое защищает зубы во время поединка",Капа,"1,8",8,да,конкретное,Приспособление,
16,"Профессиональный всадник, который работает на ипподроме",Жокей,"0,7",6,да,конкретное,Человек,
17,Быстрый народный танец на Кавказе,Лезгинка,"0,7",5,нет,абстрактное,Искусство,
18,"Богомолец, который странствует по святым местам",Паломник,"4,1",6,да,конкретное,Человек,Религия
19,"Колокольный звон, означающий тревогу",Набат,"1,3",6,да,абстрактное,Процесс,Звук
20,Груз для регулирования подъемной способности воздухоплавательного аппарата,Балласт,"1,8",8,да,конкретное,Приспособление,
21,"Бескорыстный покровитель, способствующий развитию науки и искусства",Меценат,"3,2",6,да,конкретное,Человек,
22,"Математическое положение, истинность которого устанавливается путём доказательства",Теорема,"8,8",7,нет,абстрактное,Наука,
23,Прекращение военных действий и сдача на милость победителя,Капитуляция,"3,9",8,нет,абстрактное,Процесс,
24,"Человек, который выдвигается на соискание премии или награды в конкурсе",Номинант,1,10,да,конкретное,Человек,
25,"Человек, который поступает в высшее или среднее специальное учебное заведение",Абитуриент,4,10,да,конкретное,Человек,Образование
26,"Перекладина, на которую вешают шторы",Карниз,"5,9",5,да,конкретное,Приспособление,Предмет быта
27,Полная или частичная потеря памяти,Амнезия,"0,8",5,нет,абстрактное,Физиология,Человек
28,"Полное затишье, безветренная погода на море",Штиль,2,6,нет,абстрактное,Природа,Состояние
29,Недоразвитый и утративший свои функции орган,Рудимент,"1,4",6,нет,конкретное,Физиология,
30,"Наука, изучающая историю монет",Нумизматика,0,6,да,абстрактное,Наука,Деньги
31,"Клятва или обязательство, налагаемые на себя из религиозных побуждений",Обет,"3,8",7,нет,абстрактное,Ритуал,Действие
32,"Существо с туловищем коня, головой и грудью человека.",Кентавр,"1,6",8,нет,конкретное,Животное,
33,"Лицо, впервые выступающее на каком-нибудь новом поприще.",Дебютант,"1,9",8,да,конкретное,Человек,
34,Взаимное проникновение частиц одного вещества в другое при их соприкосновении,Диффузия,"4,3",10,нет,абстрактное,Наука,Свойство
35,"Место, где расставлены ульи с пчелами",Пасека,"1,9",6,да,конкретное,Место,
36,"Человек, который притворяется больным или сумасшедшим",Симулянт,"0,8",6,да,конкретное,Человек,
37,"Политическое течение и мировоззрение, которое осуждает любые войны",Пацифизм,"0,5",8,да,абстрактное,Общество,Состояние
38,"Группа островов, которые расположены близко друг от друга",Архипелаг,"5,7",8,нет,конкретное,Место,Природа
39,"Любитель, занимающийся наукой или исскуством без профессиональной подготовки",Дилетант,"3,5",8,да,конкретное,Человек,
40,Зародыш человека или животного в начальный период развития,Эмбрион,"4,9",9,нет,конкретное,Животное,
41,"геометрическая фигура из трёх точек, попарно соединённых отрезками",Треугольник,"14,5",10,нет,конкретное,Образование,Наука
42,"человек, который родился с кем-нибудь в одной местности, области",Земляк,"13,5",9,нет,конкретное,Человек,
43,широкая и неглубокая ёмкость для мелкой стирки или варки варенья,Таз,"13,4",7,да,конкретное,Предмет быта,
44,"работник, который поддерживает чистоту на улице",Дворник,"13,2",8,да,конкретное,Человек,
45,"кусок ткани, которым покрывают стол",Скатерть,"12,7",5,да,конкретное,Предмет быта,
46,"река, которая впадает в более крупную реку или другой водоём",Приток,"11,2",10,да,конкретное,Природа,
47,"большой лес, в котором преобладают хвойные деревья, в основном сосны",Бор,"10,7",10,нет,конкретное,Природа,
48,внезапная кратковременная потеря сознания,Обморок,"10,3",4,нет,абстрактное,Состояние,
49,"регулярное денежное пособие, которое получают студенты",Стипендия,10,6,да,конкретное,Деньги,
50,раскрывающийся матерчатый купол для спуска на землю с самолёта или вертолёта,Парашют,"9,9",11,да,конкретное,Приспособление,
51,резкое различие в цвете или яркости,Контраст,"9,7",5,нет,абстрактное,Свойство,Искусство
52,"человек, который занимается изучением земных недр, поиском полезных ископаемых",Геолог,"9,5",9,да,конкретное,Человек,
53,"человек, который выдаёт себя за другого",Самозванец,"4,1",6,да,конкретное,Человек,
54,"временное пребывание в разлуке, вдали друг от друга",Расставание,"6,1",8,нет,абстрактное,Процесс,Действие
55,"человек, который без уважительной причины не является на учебные занятия",Прогульщик,"0,5",10,да,конкретное,Человек,
56,"громкие звуки, которые издают лошади",Ржание,"1,2",5,нет,абстрактное,Действие,Животное
57,предмет кухонной утвари с мелкими отверстиями для сцеживания жидкости,Дуршлаг,"1,2",9,да,конкретное,Предмет быта,
58,"крупные сладкие ягоды с косточками, похожие на вишню",Черешня,"1,3",8,нет,конкретное,Еда,Природа
59,период в жизни женщины до её выхода замуж,Девичество,"1,3",8,нет,абстрактное,Состояние,Общество
60,"проверочная работа, на которой учитель читает текст, а учащиеся его записывают",Диктант,"1,4",11,да,абстрактное,Образование,
61,"шашка, получившая право передвигаться на любое число клеток вперед или назад",Дамка,"1,5",11,да,конкретное,Игра,
62,"помещение на судне или корабле, которое оборудовано для проживания людей",Каюта,"12,5",10,да,конкретное,Помещение,
63,"Прибор, установленный на крыше для измерения направления и скорости ветра",Флюгер,"1,4",11,да,конкретное,Приспособление,
64,"Траектория, по которой движется небесное тело или космический корабль",Орбита,15,9,нет,конкретное,Наука,Природа
65,"Прекращение трудовых отношений с работником, если он не выполнял обязанности",Увольнение,"12,5",10,нет,абстрактное,Процесс,
66,"Лицо, которое принимает участие в социологическом или другом опросе",Респондент,"12,4",9,да,конкретное,Человек,
67,"Попытка совершить преступление, не доведённая до конца",Покушение,"11,8",10,да,абстрактное,Действие,
68,Устройство для дистанционного управления телевизором,Пульт,"11,2",10,да,конкретное,Приспособление,
69,"Короткий назидательный рассказ, который заключает в себе нравственное поучение",Басня,"10,9",9,нет,конкретное,Жанр,Искусство
70,"Сумма, затраченная при производстве и реализации товара",Себестоимость,11,5,нет,абстрактное,Деньги,
71,"Работник, который исполняет одинаковые обязанности совместно с другим работником",Коллега,"9,5",9,да,конкретное,Человек,
72,Совокупность неровностей земной поверхности,Рельеф,"9,5",8,нет,конкретное,Природа,
73,"Химическое вещество, которое ускоряет реакцию, но не расходуется в процессе реакции",Катализатор,"8,3",11,да,конкретное,Наука,Свойство
74,"Плоские шторы, расположенные по бокам сцены",Кулиса,15,9,нет,конкретное,Приспособление,Искусство
75,"Искусство делать акробатические упражнения, не теряя равновесия в трудных положениях",Эквилибристика,"0,4",10,нет,конкретное,Жанр,Искусство
76,"Главная часть храма, отделённая от общего помещения иконостасом",Алтарь,"9,2",8,да,конкретное,Место,Ритуал
77,"Союз, добровольное объединение нескольких стран для достижения совместных целей",Коалиция,9,10,да,абстрактное,Общество,
78,"Исполнитель музыкальной партии, которая предназначена для одного человека",Солист,"8,7",8,да,конкретное,Человек,Искусство
79,"Театральная косметика, которая необходима актёрам для игры",Грим,"8,1",8,да,конкретное,Приспособление,Искусство
80,"Плотная парусина, защищающая от огня и не промокающая",Брезент,"6,5",10,да,конкретное,Материал,
81,"Состояние человека, противоположное опьянению",Трезвость,"3,6",4,нет,абстрактное,Состояние,
82,"Помещение, в котором стоят самолеты",Ангар,"3,6",5,да,конкретное,Помещение,
83,"Направление христианства, распространенное в Западной Европе и Южной Америке",Католицизм,"3,5",9,нет,абстрактное,Общество,Религия
84,цвет волос человека в преклонном возрасте,Седина,"6,9",8,нет,конкретное,Физиология,Человек
85,"Книга, с помощью которой дети учатся читать",Букварь,"1,6",7,да,конкретное,Образование,
86,Женские украшения из недрагоценных металлов и камней,Бижутерия,1,7,нет,конкретное,Одежда и аксессуары,
87,"Приспособление, которое используется для надувания мяча или матраца",Насос,"13,6",9,да,конкретное,Приспособление,
88,"Часть снаряжения воина, защищающая голову от повреждения",Шлем,"13,2",7,да,конкретное,Одежда и аксессуары,
